canonical_name,city,country,is_2027_wc_venue,known_aliases
The Wanderers Stadium,Johannesburg,South Africa,TRUE,"New Wanderers Stadium|The Wanderers Stadium, Johannesburg|New Wanderers Stadium, Johannesburg|The Wanderers|Wanderers Stadium"
SuperSport Park,Centurion,South Africa,TRUE,"SuperSport Park, Centurion|Centurion Park"
Newlands,Cape Town,South Africa,TRUE,"Newlands, Cape Town|Newlands Cricket Ground"
Kingsmead,Durban,South Africa,TRUE,"Kingsmead, Durban|Kingsmead Cricket Ground"
St George's Park,Gqeberha,South Africa,TRUE,"St George's Park, Gqeberha|St George's Park, Port Elizabeth"
Mangaung Oval,Bloemfontein,South Africa,TRUE,"OUTsurance Oval|Chevrolet Park|Springbok Park|Mangaung Oval, Bloemfontein"
Boland Park,Paarl,South Africa,TRUE,"Boland Park, Paarl"
Buffalo Park,East London,South Africa,TRUE,"Buffalo Park, East London|Buffalo Park, KuGompo City"
Harare Sports Club,Harare,Zimbabwe,TRUE,"Harare Sports Club, Harare"
Queens Sports Club,Bulawayo,Zimbabwe,TRUE,"Queens Sports Club, Bulawayo"
Mosi-oa-Tunya International Cricket Stadium,Victoria Falls,Zimbabwe,TRUE,"Fale Mosi-oa-Tunya International Cricket Stadium|Mosi-oa-Tunya International Cricket Stadium, Victoria Falls"
Namibia Cricket Ground,Windhoek,Namibia,TRUE,"Wanderers Cricket Ground, Windhoek|Wanderers Cricket Ground|Namibia Cricket Ground, Windhoek"
Diamond Oval,Kimberley,South Africa,FALSE,"De Beers Diamond Oval|De Beers Diamond Oval, Kimberley|Diamond Oval, Kimberley"
Senwes Park,Potchefstroom,South Africa,FALSE,"Senwes Park, Potchefstroom|North West Cricket Stadium"
Willowmoore Park,Benoni,South Africa,FALSE,"Willowmoore Park, Benoni"
